Region,Date,Min_Wage
MO,1/1/1991,3.8
MO,1/1/1992,4.25
MO,1/1/1993,4.25
MO,1/1/1994,4.25
MO,1/1/1995,4.25
MO,1/1/1996,4.25
MO,1/1/1997,4.75
MO,1/1/1998,5.15
MO,1/1/1999,5.15
MO,1/1/2000,5.15
MO,1/1/2001,5.15
MO,1/1/2002,5.15
MO,1/1/2003,5.15
MO,1/1/2004,5.15
MO,1/1/2005,5.15
MO,1/1/2006,5.15
MO,1/1/2007,6.5
MO,1/1/2008,6.65
MO,1/1/2009,7.05
MO,1/1/2010,7.25
MO,1/1/2011,7.25
MO,1/1/2012,7.25
MO,1/1/2013,7.35
MO,1/1/2014,7.5
MO,1/1/2015,7.65
MO,1/1/2016,7.65
MO,1/1/2017,7.7
MO,1/1/2018,7.85
MO,1/1/2019,8.6
MO,1/1/2020,9.45
MO,1/1/2021,10.3
MO,1/1/2022,11.15
MO,1/1/2023,12
Fed/KS,4/1/1990,3.8
Fed/KS,4/1/1991,4.25
Fed/KS,1/1/1992,4.25
Fed/KS,1/1/1993,4.25
Fed/KS,1/1/1994,4.25
Fed/KS,1/1/1995,4.25
Fed/KS,10/1/1996,4.75
Fed/KS,9/1/1997,5.15
Fed/KS,1/1/1999,5.15
Fed/KS,1/1/2000,5.15
Fed/KS,1/1/2001,5.15
Fed/KS,1/1/2002,5.15
Fed/KS,1/1/2003,5.15
Fed/KS,1/1/2004,5.15
Fed/KS,1/1/2005,5.15
Fed/KS,1/1/2006,5.15
Fed/KS,7/24/2007,5.85
Fed/KS,7/24/2008,6.55
Fed/KS,7/24/2009,7.25
Fed/KS,1/1/2010,7.25
Fed/KS,1/1/2011,7.25
Fed/KS,1/1/2012,7.25
Fed/KS,1/1/2013,7.25
Fed/KS,1/1/2014,7.25
Fed/KS,1/1/2015,7.25
Fed/KS,1/1/2016,7.25
Fed/KS,1/1/2017,7.25
Fed/KS,1/1/2018,7.25
Fed/KS,1/1/2019,7.25
Fed/KS,1/1/2020,7.25
Fed/KS,1/1/2021,7.25
Fed/KS,1/1/2022,7.25
Fed/KS,1/1/2023,7.25
